ID,abdomen_brightness,avg_leafdark,avg_leaflight,white,grey1,grey2,grey3,grey4,grey5,grey6,grey7,black
157945,54.7425035,13.33333333,39.66666667,222,187.6666667,149.3333333,84.33333333,53.66666667,35.66666667,18.33333333,13,8.666666667
158036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158041,94.65755267,32.66666667,123.3333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
158222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158225,NA,28.66666667,78.66666667,232.3333333,205.6666667,170.3333333,135.3333333,100,72.66666667,48.33333333,33,29.66666667
158226,123.2570903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158229,84.56815534,40,96,232.3333333,212,177.6666667,140,106.6666667,63,32.66666667,24,20.66666667
158230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160569,133.637604,54.66666667,118.6666667,238.6666667,215,180.3333333,143.6666667,109.6666667,68.33333333,30.33333333,9.666666667,9.333333333
160570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160571,129.5802048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160572,69.18604651,12,89,204,190.3333333,158.6666667,119.6666667,73.33333333,46,18.66666667,10.66666667,12.66666667
270735,70.136,21.66666667,93.66666667,220,203.3333333,164.3333333,120.6666667,97.33333333,58,25.33333333,17.66666667,15
270743,112.954,41.66666667,132.6666667,231.6666667,202.3333333,165,132,86.33333333,49.66666667,23.33333333,20.33333333,15
274653,69.475,35.66666667,53.33333333,205,183,133,107.3333333,68.66666667,31.33333333,13.33333333,5.666666667,3.333333333
274667,105.454,79,110,NA,NA,NA,NA,NA,NA,NA,NA,NA
274708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
275528,83.622,30,61.33333333,234.3333333,213.6666667,189.3333333,146.6666667,106.3333333,68,35.66666667,23,25
276449,104.954,35.66666667,87.33333333,235.3333333,205.3333333,168,128.3333333,95,56.33333333,31.33333333,23.33333333,18.66666667
276456,77.454,21,76,240.3333333,212.3333333,186.3333333,127,113.3333333,55.33333333,27.66666667,16.66666667,12.33333333
276467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276470,141.616,98.66666667,167,NA,NA,NA,NA,NA,NA,NA,NA,NA
276471,125.021,77.33333333,146,220.3333333,198,169.3333333,149.6666667,74.66666667,57.66666667,34.33333333,18.33333333,8.333333333
276472,112.608,35.33333333,156,253.6666667,239.6666667,215.6666667,184.3333333,142.6666667,89.66666667,49.66666667,32.33333333,19.33333333
276473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276483,104.434,42,129.6666667,220.3333333,199.6666667,164.6666667,129.6666667,94,63.33333333,34.66666667,26,21
276486,52.049,17.66666667,68,NA,NA,NA,NA,NA,NA,NA,NA,NA
276488,134.862,74,156.6666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
276500,47.528,8.333333333,54.33333333,216.3333333,188.6666667,146,105.6666667,72.33333333,39.33333333,20.66666667,11.33333333,8.666666667
276503,73.694,77.33333333,95.66666667,230.6666667,204.6666667,171.3333333,131.3333333,97.33333333,69.66666667,45.33333333,25.33333333,10.33333333
276504,59.313,56,73.33333333,208.6666667,179,140,97.66666667,63,32.66666667,10.66666667,4,1.333333333
276509,83.51,66,95.33333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
276511,84.59,14.66666667,77.33333333,222.3333333,200,161.6666667,123,90.66666667,56,32.33333333,26,23.66666667
276679,61.60960699,8.333333333,72,NA,NA,NA,NA,NA,NA,NA,NA,NA
276682,61.31751152,46.33333333,67,NA,NA,NA,NA,NA,NA,NA,NA,NA
276687,100.4735459,75,129.6666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
276690,56.194,16,57.33333333,187,160.3333333,124.6666667,92,57.33333333,29,10.33333333,3,3
276692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276695,92.75877937,35.66666667,110,NA,NA,NA,NA,NA,NA,NA,NA,NA
276699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276749,71.126,30.66666667,70.66666667,224.6666667,201,166,131,85,37,11.66666667,3.333333333,1
276760,NA,18,37,205,177,134.6666667,98.33333333,77,48,31,24.66666667,22.33333333
276768,121.2322222,49.33333333,133,NA,NA,NA,NA,NA,NA,NA,NA,NA
276770,98.93544137,47.33333333,104.3333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
276780,NA,63.33333333,88,230,204.3333333,172,140.6666667,108.3333333,59,29.33333333,18.66666667,22.33333333
276819,101.932,110.6666667,129.6666667,192.6666667,162,121.6666667,84.33333333,56.66666667,30.66666667,12.33333333,6,3
276822,142.236,134.3333333,174.6666667,225.6666667,201.3333333,166,127.6666667,87.66666667,49,21.33333333,10.33333333,7
276824,87.213,80.33333333,107,214.3333333,189.3333333,148.3333333,109.6666667,70.33333333,36,11,3.666666667,2.333333333
276825,66.126,51,64,157,130,99.66666667,74.33333333,54,34,19.33333333,11.33333333,11
276828,103.779,104.6666667,119,249.3333333,240,210,190.3333333,146.6666667,104.6666667,45.66666667,29.66666667,18.66666667
276829,52.528,30.66666667,71,227.3333333,206.3333333,154,119,78.33333333,43.33333333,18.33333333,10,5.333333333
276831,76.302,47.66666667,111.6666667,215.3333333,187.6666667,152,116,84.33333333,50.66666667,37.66666667,22,20.33333333
277069,82.257,68.33333333,90.33333333,228.3333333,207.6666667,173.6666667,131,92,54,27.66666667,13,9
277075,128.661,70,139.6666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
277105,97.949,47.66666667,116.6666667,195.3333333,176.6666667,142,115,86,50,27.66666667,18.33333333,12.33333333
277115,68.744,43.66666667,60.66666667,193.6666667,166,127.6666667,95.66666667,68,40.66666667,20.33333333,15,10.66666667
277123,63.505,38,67.33333333,184.3333333,164,132.3333333,100.6666667,73.33333333,49.33333333,36.33333333,21.66666667,18.66666667
277138,76.691,53,87,NA,NA,NA,NA,NA,NA,NA,NA,NA
277150,NA,20,37.66666667,206.3333333,178.3333333,140.3333333,105.3333333,68.33333333,36.33333333,13.33333333,5.666666667,3
277154,70.142,24.66666667,71.66666667,219.6666667,196.3333333,150,123,79,51.33333333,26.66666667,21,16.66666667
277156,62.006,25,39,225,189.3333333,155,106.6666667,79,41.33333333,17.66666667,7.333333333,4.333333333
277161,65.577,50.66666667,60.66666667,197,182.3333333,159.6666667,122,95.33333333,47.33333333,24,17.66666667,11.66666667
277166,67.14,41,82,204,178.3333333,133.6666667,100.6666667,70,52,38.33333333,36.66666667,9.666666667
278159,121.4399942,121,128.3333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
278163,NA,20.33333333,54.33333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
278197,NA,92,113.3333333,217.3333333,198,171,137,104.3333333,71.33333333,43.66666667,31,25.33333333
279155,125.1759941,151,NA,240.3333333,219,199.6666667,159.6666667,128.6666667,93,43.66666667,25,17
279157,NA,33.66666667,56.33333333,222.3333333,187,148.3333333,114.6666667,77.33333333,49.66666667,24.33333333,15.66666667,12.33333333
279164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
279174,101.8024643,47.33333333,125.6666667,236.3333333,204.6666667,163,126,99.66666667,68,45.33333333,29,26.33333333
279188,NA,65,100.6666667,170.6666667,147.6666667,113,91.66666667,63.66666667,35,22.33333333,10,5
279191,127.035434,141,151.3333333,229,211.6666667,176.3333333,145,107,63.33333333,39.66666667,25.66666667,21
279239,65.97321724,50.66666667,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
279283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
279284,127.6534748,72.33333333,156,NA,NA,NA,NA,NA,NA,NA,NA,NA
279287,101.4546311,80,123.6666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
279305,66.7,52,73.66666667,228.3333333,208.3333333,175,137,100,56.66666667,17.33333333,11,3
279308,57.11,50.66666667,59,NA,NA,NA,NA,NA,NA,NA,NA,NA
279315,40.103,14.66666667,39,227.6666667,211.3333333,184,134.6666667,91.33333333,71,32,11.66666667,4.666666667
279319,64.039,33,65,227.3333333,200.6666667,168,114,75,45,13.33333333,2.666666667,1
279323,59.487,29,61.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
279327,50.035,27.66666667,46.33333333,205.3333333,182.6666667,145.3333333,113.6666667,80,48.66666667,22.66666667,10,5.666666667
279331,95.944,31,103,NA,NA,NA,NA,NA,NA,NA,NA,NA
279334,130.408,89.66666667,169.3333333,212.3333333,205.6666667,182.6666667,149,110,74,40.33333333,24.33333333,16
279352,130.574,81,176.3333333,210.6666667,203.3333333,184.6666667,151.3333333,111,71.33333333,39.66666667,22.33333333,14.33333333
279358,NA,16.66666667,60.33333333,190,160,125,94.66666667,62,35.66666667,17.33333333,7.666666667,6.333333333
279364,104.854,107,133.3333333,214.3333333,193.6666667,165,125.6666667,97.33333333,57.66666667,29.33333333,14,14
279367,88.747,33.33333333,84,NA,NA,NA,NA,NA,NA,NA,NA,NA
279371,54.468,8,30,202.3333333,175.3333333,144.3333333,111.6666667,78.66666667,49.66666667,29.66666667,20.33333333,15.66666667
279373,NA,55.66666667,90,217.3333333,187,160,118,81.66666667,43.33333333,20,8.666666667,9.333333333
279379,79.322,48.33333333,77,236.3333333,216,190,149.6666667,105,68.66666667,32.66666667,15.66666667,7.333333333
279386,101.338,70.33333333,88.33333333,250,233,206,165.3333333,129.6666667,81.33333333,42.33333333,19,9.333333333
279389,79.122,62.33333333,94.33333333,229.6666667,194.6666667,183.6666667,138,85,54.66666667,19.33333333,6,4
279393,84.974,52,75.33333333,215,193,160.6666667,126.3333333,85.33333333,53.66666667,26,14.33333333,7.666666667
279403,70.088,52.66666667,82,238.3333333,220.6666667,185.6666667,143.6666667,106.3333333,53,25,6,4
279406,95.954,28,129,210.3333333,187.3333333,151,117.6666667,84.66666667,53.66666667,27.66666667,16,11.66666667
279407,109.176,35.66666667,133.3333333,250,235.6666667,212.3333333,182,145.6666667,87.66666667,57.33333333,38.66666667,34
279411,115.609,91.33333333,142.6666667,244,230.3333333,184.6666667,174,124.6666667,91.33333333,56.66666667,43,34.66666667
279414,91.983,62.33333333,100,214.3333333,191.6666667,160.6666667,134.3333333,98.66666667,64,34.66666667,23,20
279424,83.215,46.66666667,84.66666667,200,176.6666667,148.3333333,114,81.33333333,47.66666667,25,9.666666667,5.666666667
279446,73.444,61.33333333,111.3333333,196,172,140.3333333,119.6666667,79.66666667,40.33333333,25.66666667,11.33333333,7.333333333
279448,92.165,54.33333333,98.66666667,225.3333333,205,172.3333333,142.6666667,106,63.66666667,35.66666667,23,16.33333333
279449,77.478,19.33333333,103.3333333,214.6666667,193,161.3333333,122.3333333,86,51.66666667,26.66666667,13.66666667,8.666666667
279452,83.482,25.66666667,87,204.3333333,180.6666667,150.3333333,123,91.33333333,59.33333333,35,25.66666667,19.66666667
279461,71.86,38.33333333,94,241.6666667,224.6666667,205,178,132,96.66666667,57.33333333,39,31
279579,45.7372867,29.33333333,37,192.3333333,150.6666667,103.6666667,74.33333333,47,28,15,11.66666667,10.33333333
279583,NA,19,35.66666667,165.3333333,125.6666667,94.33333333,71.66666667,52,33.66666667,23.66666667,16.66666667,16.33333333
279587,48.75780057,22,40,188.3333333,157,119.6666667,97,74.66666667,55.33333333,39,28.33333333,28.66666667
